时间,经度,维度
2020-07-10 12:32:28,121.417282,31.1740578
2020-07-10 12:32:44,121.4183351,31.1732143
2020-07-10 12:32:45,121.4183352,31.1732142
2020-07-10 12:32:45,121.4183353,31.1732141
2020-07-10 12:32:45,121.4183352,31.173214
2020-07-10 12:32:53,121.4181049,31.1733571
2020-07-10 12:32:53,121.4180873,31.1733681
2020-07-10 12:32:53,121.4180696,31.1733792
2020-07-10 12:32:53,121.4180696,31.1733792
2020-07-10 12:32:54,121.4180339,31.1734015
2020-07-10 12:32:54,121.418016,31.1734126
2020-07-10 12:32:55,121.4179625,31.1734458
2020-07-10 12:32:55,121.4179448,31.1734568
2020-07-10 12:32:55,121.4179272,31.1734678
2020-07-10 12:32:55,121.4179096,31.1734788
2020-07-10 12:32:55,121.4178921,31.1734897
2020-07-10 12:32:56,121.4178747,31.1735006
2020-07-10 12:32:56,121.4178573,31.1735113
2020-07-10 12:32:56,121.41784,31.1735219
2020-07-10 12:32:56,121.4178228,31.1735325
2020-07-10 12:32:57,121.4177375,31.1735851
2020-07-10 12:32:57,121.4177205,31.1735956
2020-07-10 12:32:58,121.4177036,31.1736061
2020-07-10 12:32:58,121.4176867,31.1736167
2020-07-10 12:32:58,121.4176697,31.1736272
2020-07-10 12:32:58,121.4176529,31.1736378
2020-07-10 12:32:58,121.4176359,31.1736483
2020-07-10 12:32:59,121.4176191,31.1736588
2020-07-10 12:32:59,121.4176023,31.1736692
2020-07-10 12:32:59,121.4175856,31.1736796
2020-07-10 12:32:59,121.4175523,31.1737004
2020-07-10 12:33:00,121.4175189,31.1737211
2020-07-10 12:33:00,121.4175021,31.1737316
2020-07-10 12:33:00,121.4174853,31.173742
2020-07-10 12:33:00,121.4174684,31.1737524
2020-07-10 12:33:01,121.4174515,31.1737629
2020-07-10 12:33:01,121.4174176,31.173784
2020-07-10 12:33:01,121.4174006,31.1737945
2020-07-10 12:33:01,121.4173836,31.173805
2020-07-10 12:33:02,121.4173666,31.1738156
2020-07-10 12:33:03,121.4172786,31.17387
2020-07-10 12:33:03,121.41726,31.1738818
2020-07-10 12:33:03,121.4172423,31.1738929
2020-07-10 12:33:03,121.4172263,31.173903
2020-07-10 12:33:03,121.4172125,31.1739117
2020-07-10 12:33:04,121.4172011,31.1739188
2020-07-10 12:33:04,121.417192,31.1739242
2020-07-10 12:33:04,121.4171852,31.1739281
2020-07-10 12:33:04,121.4171808,31.1739304
2020-07-10 12:33:04,121.4171782,31.1739318
2020-07-10 12:33:05,121.4171766,31.1739329
2020-07-10 12:33:05,121.4171753,31.1739338
2020-07-10 12:33:05,121.4171743,31.1739345
2020-07-10 12:33:05,121.4171735,31.1739352
2020-07-10 12:33:05,121.417173,31.1739359
2020-07-10 12:33:06,121.4171722,31.1739368
2020-07-10 12:33:06,121.4171708,31.1739369
2020-07-10 12:33:06,121.4171681,31.1739359
2020-07-10 12:33:06,121.4171639,31.1739334
2020-07-10 12:33:06,121.4171584,31.1739292
2020-07-10 12:33:07,121.4171515,31.1739233
2020-07-10 12:33:07,121.4171434,31.1739157
2020-07-10 12:33:07,121.4171332,31.1739071
2020-07-10 12:33:07,121.4171073,31.173888
2020-07-10 12:33:08,121.4170745,31.1738666
2020-07-10 12:33:08,121.4170557,31.1738553
2020-07-10 12:33:08,121.4170353,31.1738437
2020-07-10 12:33:08,121.4170135,31.1738319
2020-07-10 12:33:09,121.4169904,31.1738199
2020-07-10 12:33:09,121.4169662,31.1738076
2020-07-10 12:33:09,121.4169411,31.173795
2020-07-10 12:33:09,121.4169153,31.1737821
2020-07-10 12:33:09,121.4168889,31.1737686
2020-07-10 12:33:10,121.4168622,31.1737546
2020-07-10 12:33:10,121.4168352,31.1737399
2020-07-10 12:33:10,121.4168081,31.1737247
2020-07-10 12:33:10,121.4167809,31.1737088
2020-07-10 12:33:10,121.4167534,31.1736924
2020-07-10 12:33:11,121.4167259,31.1736755
2020-07-10 12:33:11,121.4166984,31.1736581
2020-07-10 12:33:11,121.4166709,31.1736403
2020-07-10 12:33:11,121.4166433,31.1736222
2020-07-10 12:33:14,121.4161867,31.1733258
2020-07-10 12:33:15,121.4161617,31.1733121
2020-07-10 12:33:15,121.4161393,31.1733
2020-07-10 12:33:15,121.4161196,31.1732894
2020-07-10 12:33:15,121.4161024,31.1732803
2020-07-10 12:33:16,121.4160878,31.1732727
2020-07-10 12:33:16,121.4160756,31.1732664
2020-07-10 12:33:16,121.4160657,31.1732615
2020-07-10 12:33:16,121.4160583,31.1732581
2020-07-10 12:33:16,121.4160534,31.1732559
2020-07-10 12:33:17,121.416048,31.1732536
2020-07-10 12:33:17,121.4160463,31.1732529
2020-07-10 12:33:17,121.4160434,31.1732519
2020-07-10 12:33:17,121.4160423,31.1732515
2020-07-10 12:33:18,121.4160415,31.1732512
2020-07-10 12:33:18,121.4160409,31.1732509
2020-07-10 12:33:18,121.4160404,31.1732507
2020-07-10 12:33:18,121.4160401,31.1732505
2020-07-10 12:33:18,121.4160399,31.1732503
2020-07-10 12:33:19,121.41604,31.1732502
2020-07-10 12:33:19,121.41604,31.1732501
2020-07-10 12:33:19,121.4160402,31.17325
2020-07-10 12:33:19,121.4160405,31.17325
2020-07-10 12:33:19,121.4160407,31.1732501
2020-07-10 12:33:20,121.4160409,31.1732501
2020-07-10 12:33:20,121.416041,31.1732502
2020-07-10 12:33:20,121.4160412,31.1732503
2020-07-10 12:33:20,121.4160413,31.1732504
2020-07-10 12:33:20,121.416041,31.1732501
2020-07-10 12:33:21,121.4160389,31.1732495
2020-07-10 12:33:21,121.4160346,31.1732481
2020-07-10 12:33:21,121.4160281,31.1732459
2020-07-10 12:33:21,121.4160195,31.1732429
2020-07-10 12:33:21,121.4160088,31.1732392
2020-07-10 12:33:22,121.4159815,31.1732299
2020-07-10 12:33:22,121.4159276,31.1732112
2020-07-10 12:33:23,121.4159066,31.1732041
2020-07-10 12:33:23,121.4158842,31.1731964
2020-07-10 12:33:23,121.4158606,31.1731884
2020-07-10 12:33:23,121.4158358,31.17318
2020-07-10 12:33:23,121.41581,31.1731713
2020-07-10 12:33:24,121.4157832,31.1731622
2020-07-10 12:33:24,121.4157553,31.173153
2020-07-10 12:33:24,121.4157268,31.1731435
2020-07-10 12:33:24,121.4156975,31.1731338
2020-07-10 12:33:24,121.4156676,31.1731239
2020-07-10 12:33:25,121.415637,31.1731139
2020-07-10 12:33:25,121.4156058,31.1731036
2020-07-10 12:33:25,121.415574,31.1730934
2020-07-10 12:33:25,121.4155418,31.1730831
2020-07-10 12:33:25,121.415509,31.1730729
2020-07-10 12:33:26,121.4154757,31.1730631
2020-07-10 12:33:26,121.4154418,31.1730536
2020-07-10 12:33:26,121.4154077,31.1730444
2020-07-10 12:33:26,121.4153731,31.1730357
2020-07-10 12:33:26,121.4153382,31.1730274
2020-07-10 12:33:27,121.415303,31.1730196
2020-07-10 12:33:29,121.4149019,31.1729588
